Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Lichtenfels,LK Lichtenfels,Landkreis,Bayern,09478,50.10915,11.120815,66776
Wunsiedel i. Fichtelgebirge,LK Wunsiedel i.Fichtelgebirge,Landkreis,Bayern,09479,50.09149,12.041012,72655
Ansbach,SK Ansbach,Stadt,Bayern,09561,49.289653,10.573355,41798
Erlangen,SK Erlangen,Stadt,Bayern,09562,49.581177,10.985761,112528
Fürth,SK Fürth,Stadt,Bayern,09563,49.488147,10.973388,128497
Nürnberg,SK Nürnberg,Stadt,Bayern,09564,49.435679,11.086215,518370
Schwabach,SK Schwabach,Stadt,Bayern,09565,49.33246,11.031057,40981
Ansbach,LK Ansbach,Landkreis,Bayern,09571,49.160088,10.430621,184591
Erlangen-Höchstadt,LK Erlangen-Höchstadt,Landkreis,Bayern,09572,49.677346,10.848502,137262
Fürth,LK Fürth,Landkreis,Bayern,09573,49.443756,10.857838,117853
Nürnberger Land,LK Nürnberger Land,Landkreis,Bayern,09574,49.490782,11.373909,170792
Neustadt a.d. Aisch-Bad Windsheim,LK Neustadt a.d.Aisch-Bad Windsheim,Landkreis,Bayern,09575,49.566294,10.472122,101014
Roth,LK Roth,Landkreis,Bayern,09576,49.198729,11.130104,126749
Weißenburg-Gunzenhausen,LK Weißenburg-Gunzenhausen,Landkreis,Bayern,09577,49.029091,10.903037,94734
Aschaffenburg,SK Aschaffenburg,Stadt,Bayern,09661,49.965224,9.1598653,71002
Schweinfurt,SK Schweinfurt,Stadt,Bayern,09662,50.042317,10.223202,53426
Würzburg,SK Würzburg,Stadt,Bayern,09663,49.780016,9.9449642,127934
Aschaffenburg,LK Aschaffenburg,Landkreis,Bayern,09671,50.0068,9.2512234,174200
Bad Kissingen,LK Bad Kissingen,Landkreis,Bayern,09672,50.221197,9.9643468,103235
Rhön-Grabfeld,LK Rhön-Grabfeld,Landkreis,Bayern,09673,50.369698,10.257982,79635
Haßberge,LK Haßberge,Landkreis,Bayern,09674,50.058476,10.610977,84384
Kitzingen,LK Kitzingen,Landkreis,Bayern,09675,49.748753,10.260365,91155
Miltenberg,LK Miltenberg,Landkreis,Bayern,09676,49.756799,9.2445054,128743
Main-Spessart,LK Main-Spessart,Landkreis,Bayern,09677,49.991344,9.6680921,126158
Schweinfurt,LK Schweinfurt,Landkreis,Bayern,09678,49.935132,10.346527,115445
Würzburg,LK Würzburg,Landkreis,Bayern,09679,49.618894,10.001447,162302
Augsburg,SK Augsburg,Stadt,Bayern,09761,48.341627,10.892835,296582
Kaufbeuren,SK Kaufbeuren,Stadt,Bayern,09762,47.884084,10.617797,44398
Kempten (Allgäu),SK Kempten,Stadt,Bayern,09763,47.739602,10.30596,69151
Memmingen,SK Memmingen,Stadt,Bayern,09764,47.987559,10.162409,44100
Aichach-Friedberg,LK Aichach-Friedberg,Landkreis,Bayern,09771,48.426496,11.058273,134655
Augsburg,LK Augsburg,Landkreis,Bayern,09772,48.396895,10.685283,253468
Dillingen a.d. Donau,LK Dillingen a.d.Donau,Landkreis,Bayern,09773,48.599273,10.535961,96562
Günzburg,LK Günzburg,Landkreis,Bayern,09774,48.35839,10.385559,127027
Neu-Ulm,LK Neu-Ulm,Landkreis,Bayern,09775,48.302863,10.142761,175204
Lindau (Bodensee),LK Lindau,Landkreis,Bayern,09776,47.607267,9.885544,81981
Ostallgäu,LK Ostallgäu,Landkreis,Bayern,09777,47.69976,10.63783,141182
Unterallgäu,LK Unterallgäu,Landkreis,Bayern,09778,48.043666,10.394069,145341
Donau-Ries,LK Donau-Ries,Landkreis,Bayern,09779,48.805268,10.72336,133783
Oberallgäu,LK Oberallgäu,Landkreis,Bayern,09780,47.514561,10.255646,156008
Regionalverband Saarbrücken,LK Stadtverband Saarbrücken,Landkreis,Saarland,10041,49.254221,6.9624581,328714
Merzig-Wadern,LK Merzig-Wadern,Landkreis,Saarland,10042,49.497743,6.6812872,103243
Neunkirchen,LK Neunkirchen,Landkreis,Saarland,10043,49.382253,7.1228489,131408
Saarlouis,LK Saarlouis,Landkreis,Saarland,10044,49.357861,6.7777539,194319
Saarpfalz-Kreis,LK Saarpfalz-Kreis,Landkreis,Saarland,10045,49.250003,7.2453135,142196
St. Wendel,LK Sankt Wendel,Landkreis,Saarland,10046,49.527195,7.105983,87007
Berlin Mitte,SK Berlin Mitte,Stadt,Berlin,11001,52.502759,13.399375,375238
Berlin Friedrichshain-Kreuzberg,SK Berlin Friedrichshain-Kreuzberg,Stadt,Berlin,11002,52.502759,13.399375,282059
Berlin Pankow,SK Berlin Pankow,Stadt,Berlin,11003,52.502759,13.399375,398036
Berlin Charlottenburg-Wilmersdorf,SK Berlin Charlottenburg-Wilmersdorf,Stadt,Berlin,11004,52.502759,13.399375,334401
Berlin Spandau,SK Berlin Spandau,Stadt,Berlin,11005,52.502759,13.399375,239019
Berlin Steglitz-Zehlendorf,SK Berlin Steglitz-Zehlendorf,Stadt,Berlin,11006,52.502759,13.399375,302177
Berlin Tempelhof-Schöneberg,SK Berlin Tempelhof-Schöneberg,Stadt,Berlin,11007,52.502759,13.399375,341772
Berlin Neukölln,SK Berlin Neukölln,Stadt,Berlin,11008,52.502759,13.399375,321123
Berlin Treptow-Köpenick,SK Berlin Treptow-Köpenick,Stadt,Berlin,11009,52.502759,13.399375,266488
Berlin Marzahn-Hellersdorf,SK Berlin Marzahn-Hellersdorf,Stadt,Berlin,11010,52.502759,13.399375,262967
Berlin Lichtenberg,SK Berlin Lichtenberg,Stadt,Berlin,11011,52.502759,13.399375,286522
Berlin Reinickendorf,SK Berlin Reinickendorf,Stadt,Berlin,11012,52.502759,13.399375,259689
Brandenburg an der Havel,SK Brandenburg a.d.Havel,Stadt,Brandenburg,12051,52.393582,12.513434,72184
Cottbus,SK Cottbus,Stadt,Brandenburg,12052,51.773461,14.379693,99678
Frankfurt (Oder),SK Frankfurt (Oder),Stadt,Brandenburg,12053,52.326169,14.488103,57751
Potsdam,SK Potsdam,Stadt,Brandenburg,12054,52.396134,13.05742,180334
Barnim,LK Barnim,Landkreis,Brandenburg,12060,52.82132,13.711743,185244
Dahme-Spreewald,LK Dahme-Spreewald,Landkreis,Brandenburg,12061,52.044154,13.829476,170791
Elbe-Elster,LK Elbe-Elster,Landkreis,Brandenburg,12062,51.613588,13.476273,101827
Havelland,LK Havelland,Landkreis,Brandenburg,12063,52.616959,12.632832,162996
Märkisch-Oderland,LK Märkisch-Oderland,Landkreis,Brandenburg,12064,52.606125,14.148876,195751
Oberhavel,LK Oberhavel,Landkreis,Brandenburg,12065,52.903092,13.210681,212914
Oberspreewald-Lausitz,LK Oberspreewald-Lausitz,Landkreis,Brandenburg,12066,51.618423,13.959035,109371
Oder-Spree,LK Oder-Spree,Landkreis,Brandenburg,12067,52.246749,14.218978,178803
Ostprignitz-Ruppin,LK Ostprignitz-Ruppin,Landkreis,Brandenburg,12068,52.986298,12.642753,98861
Potsdam-Mittelmark,LK Potsdam-Mittelmark,Landkreis,Brandenburg,12069,52.251067,12.708471,216566
Prignitz,LK Prignitz,Landkreis,Brandenburg,12070,53.104582,11.968515,76158
Spree-Neiße,LK Spree-Neiße,Landkreis,Brandenburg,12071,51.622702,14.370469,113720
Teltow-Fläming,LK Teltow-Fläming,Landkreis,Brandenburg,12072,52.072272,13.287821,169997
Uckermark,LK Uckermark,Landkreis,Brandenburg,12073,53.204681,13.861258,118947
Rostock,SK Rostock,Stadt,Mecklenburg-Vorpommern,13003,54.15084,12.150236,209191
Schwerin,SK Schwerin,Stadt,Mecklenburg-Vorpommern,13004,53.621983,11.419816,95653
Mecklenburgische Seenplatte,LK Mecklenburgische Seenplatte,Landkreis,Mecklenburg-Vorpommern,13071,53.544128,13.002276,258074
Rostock,LK Rostock,Landkreis,Mecklenburg-Vorpommern,13072,53.911856,12.22239,215794
Vorpommern-Rügen,LK Vorpommern-Rügen,Landkreis,Mecklenburg-Vorpommern,13073,54.247992,12.898721,224702
Nordwestmecklenburg,LK Nordwestmecklenburg,Landkreis,Mecklenburg-Vorpommern,13074,53.820465,11.250093,157322
Vorpommern-Greifswald,LK Vorpommern-Greifswald,Landkreis,Mecklenburg-Vorpommern,13075,53.769177,13.75855,235623
Ludwigslust-Parchim,LK Ludwigslust-Parchim,Landkreis,Mecklenburg-Vorpommern,13076,53.450094,11.534177,211779
Chemnitz,SK Chemnitz,Stadt,Sachsen,14511,50.83261,12.939141,246334
Erzgebirgskreis,LK Erzgebirgskreis,Landkreis,Sachsen,14521,50.609375,12.945301,334948
Mittelsachsen,LK Mittelsachsen,Landkreis,Sachsen,14522,50.956407,13.137541,304099
Vogtlandkreis,LK Vogtlandkreis,Landkreis,Sachsen,14523,50.404913,12.338026,225997
Zwickau,LK Zwickau,Landkreis,Sachsen,14524,50.72636,12.498494,315002
Dresden,SK Dresden,Stadt,Sachsen,14612,51.100169,13.799476,556780
Bautzen,LK Bautzen,Landkreis,Sachsen,14625,51.172049,14.3838,299758
Görlitz,LK Görlitz,Landkreis,Sachsen,14626,51.13691,14.961263,252725
Meißen,LK Meißen,Landkreis,Sachsen,14627,51.136632,13.434262,241717
Sächsische Schweiz-Osterzgebirge,LK Sächsische Schweiz-Osterzgebirge,Landkreis,Sachsen,14628,50.917266,13.871576,245586
Leipzig,SK Leipzig,Stadt,Sachsen,14713,51.333118,12.376875,593145
Leipzig,LK Leipzig,Landkreis,Sachsen,14729,51.203509,12.439818,258139
Nordsachsen,LK Nordsachsen,Landkreis,Sachsen,14730,51.472542,12.779554,197741
Dessau-Roßlau,SK Dessau-Roßlau,Stadt,Sachsen-Anhalt,15001,51.813909,12.241279,80103
Halle (Saale),SK Halle,Stadt,Sachsen-Anhalt,15002,51.4803,11.974528,238762
Magdeburg,SK Magdeburg,Stadt,Sachsen-Anhalt,15003,52.115977,11.648383,237565
Altmarkkreis Salzwedel,LK Altmarkkreis Salzwedel,Landkreis,Sachsen-Anhalt,15081,52.676729,11.229724,83173
Anhalt-Bitterfeld,LK Anhalt-Bitterfeld,Landkreis,Sachsen-Anhalt,15082,51.647049,12.299255,158486
Börde,LK Börde,Landkreis,Sachsen-Anhalt,15083,52.059045,11.284423,170923
Burgenlandkreis,LK Burgenlandkreis,Landkreis,Sachsen-Anhalt,15084,51.134376,11.83389,178846
Harz,LK Harz,Landkreis,Sachsen-Anhalt,15085,51.822351,10.95932,213310
Jerichower Land,LK Jerichower Land,Landkreis,Sachsen-Anhalt,15086,52.287454,12.029403,89589
Mansfeld-Südharz,LK Mansfeld-Südharz,Landkreis,Sachsen-Anhalt,15087,51.535322,11.354395,134942
Saalekreis,LK Saalekreis,Landkreis,Sachsen-Anhalt,15088,51.363372,11.798382,183815
Salzlandkreis,LK Salzlandkreis,Landkreis,Sachsen-Anhalt,15089,51.851445,11.641005,189125
Stendal,LK Stendal,Landkreis,Sachsen-Anhalt,15090,52.693177,11.845665,111190
Wittenberg,LK Wittenberg,Landkreis,Sachsen-Anhalt,15091,51.791391,12.791179,124953
Erfurt,SK Erfurt,Stadt,Thüringen,16051,50.982466,11.020683,213981
Gera,SK Gera,Stadt,Thüringen,16052,50.90074,12.093004,93125
Jena,SK Jena,Stadt,Thüringen,16053,50.92588,11.591162,111343
Suhl,SK Suhl,Stadt,Thüringen,16054,50.608361,10.693465,36789
Weimar,SK Weimar,Stadt,Thüringen,16055,50.977554,11.31781,65228
Eisenach,SK Eisenach,Stadt,Thüringen,16056,50.990569,10.296955,42250
Eichsfeld,LK Eichsfeld,Landkreis,Thüringen,16061,51.38163,10.257459,100006
Nordhausen,LK Nordhausen,Landkreis,Thüringen,16062,51.501566,10.73279,83416
Wartburgkreis,LK Wartburgkreis,Landkreis,Thüringen,16063,50.892774,10.217819,118974
Unstrut-Hainich-Kreis,LK Unstrut-Hainich-Kreis,Landkreis,Thüringen,16064,51.182695,10.555401,102232
Kyffhäuserkreis,LK Kyffhäuserkreis,Landkreis,Thüringen,16065,51.323188,10.989641,74212
Schmalkalden-Meiningen,LK Schmalkalden-Meiningen,Landkreis,Thüringen,16066,50.628856,10.407442,124916
Gotha,LK Gotha,Landkreis,Thüringen,16067,50.907203,10.696255,134908
Sömmerda,LK Sömmerda,Landkreis,Thüringen,16068,51.156333,11.156919,69427
Hildburghausen,LK Hildburghausen,Landkreis,Thüringen,16069,50.431086,10.737739,63197
Ilm-Kreis,LK Ilm-Kreis,Landkreis,Thüringen,16070,50.736692,10.968152,106249
Weimarer Land,LK Weimarer Land,Landkreis,Thüringen,16071,51.032264,11.507425,82156
Sonneberg,LK Sonneberg,Landkreis,Thüringen,16072,50.413317,11.133108,57717
Saalfeld-Rudolstadt,LK Saalfeld-Rudolstadt,Landkreis,Thüringen,16073,50.638271,11.311129,103199
Saale-Holzland-Kreis,LK Saale-Holzland-Kreis,Landkreis,Thüringen,16074,50.905491,11.735917,82950
Saale-Orla-Kreis,LK Saale-Orla-Kreis,Landkreis,Thüringen,16075,50.582527,11.713913,80312
Greiz,LK Greiz,Landkreis,Thüringen,16076,50.753331,12.084158,97398
Altenburger Land,LK Altenburger Land,Landkreis,Thüringen,16077,50.961288,12.410718,89393
