Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
16053,SK Jena,105.5,4.6,5.7,50.92588,11.591162
16054,SK Suhl,192.2,14.1,7.9,50.608361,10.693465
16055,SK Weimar,96.9,8.2,9.1,50.977554,11.31781
16056,SK Eisenach,170.8,4.6,3,50.990569,10.296955
16061,LK Eichsfeld,167.6,5,3.2,51.38163,10.257459
16062,LK Nordhausen,96.9,8.1,10.1,51.501566,10.73279
16063,LK Wartburgkreis,289.9,6.9,2.6,50.892774,10.217819
16064,LK Unstrut-Hainich-Kreis,128,1,0.8,51.182695,10.555401
16065,LK Kyffhäuserkreis,171.6,0,0,51.323188,10.989641
16066,LK Schmalkalden-Meiningen,258.6,18.6,7.6,50.628856,10.407442
16067,LK Gotha,250.6,2.2,0.9,50.907203,10.696255
16068,LK Sömmerda,219.2,6.3,3,51.156333,11.156919
16069,LK Hildburghausen,183.2,1,0.8,50.431086,10.737739
16070,LK Ilm-Kreis,241.2,2.9,1.3,50.736692,10.968152
16071,LK Weimarer Land,171.6,5.2,3.7,51.032264,11.507425
16072,LK Sonneberg,186.1,7.7,5.8,50.413317,11.133108
16073,LK Saalfeld-Rudolstadt,186.4,4.1,2.5,50.638271,11.311129
16074,LK Saale-Holzland-Kreis,192.7,0.1,0,50.905491,11.735917
16075,LK Saale-Orla-Kreis,329.4,8.6,2.8,50.582527,11.713913
16076,LK Greiz,374.8,11.3,2.9,50.753331,12.084158
16077,LK Altenburger Land,204.7,7.8,4,50.961288,12.410718
