Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
05554,LK Borken,115.2,0.3,0.3,51.962198,6.9097557
05558,LK Coesfeld,67.3,0.8,1.4,51.864443,7.3713157
05562,LK Recklinghausen,124.8,1.5,1,51.669264,7.165792
05566,LK Steinfurt,107.8,11.7,11.5,52.2116,7.581675
05570,LK Warendorf,99.3,0.1,0.1,51.86986,7.9598364
05711,SK Bielefeld,113.8,13.8,12.2,52.011184,8.543212
05754,LK Gütersloh,124.9,9.1,7.5,51.931784,8.3548388
05758,LK Herford,124,5.8,4.6,52.168789,8.6427584
05762,LK Höxter,60.2,1.6,3,51.685478,9.1884029
05766,LK Lippe,137.5,0.5,0.5,51.981325,8.9548684
05770,LK Minden-Lübbecke,131.3,0.7,0.5,52.352474,8.740944
05774,LK Paderborn,85.8,6.6,7.7,51.662547000000004,8.7303579
05911,SK Bochum,116.3,1.8,1.4,51.465371,7.2285467
05913,SK Dortmund,132.3,1.5,1.4,51.512061,7.4796919
05914,SK Hagen,191.3,3.5,1.8,51.347057,7.4970114
05915,SK Hamm,152.2,6.4,4.4,51.66249,7.8263982
05916,SK Herne,172.8,3.4,2.4,51.533785,7.2159088
05954,LK Ennepe-Ruhr-Kreis,108.7,7.6,7.5,51.34186,7.3263007
05958,LK Hochsauerlandkreis,117.7,0.2,0.3,51.305556,8.3972543
05962,LK Märkischer Kreis,187.7,0.6,0.3,51.260696,7.7139345
05966,LK Olpe,122.1,0.2,0.1,51.087234,7.9812283
05970,LK Siegen-Wittgenstein,147.7,4.3,3,50.937992,8.2058809
05974,LK Soest,80.5,5.7,7.3,51.5647,8.2236358
05978,LK Unna,128.4,1.4,1.8,51.575208,7.6417082
06411,SK Darmstadt,85.8,1.3,1.7,49.882743,8.6752367
06412,SK Frankfurt am Main,132.4,3.4,2.8,50.116773,8.6598981
06413,SK Offenbach,216.9,11.5,5.3,50.089561,8.7984841
06414,SK Wiesbaden,110.2,2.5,2.4,50.076486,8.2738994
06431,LK Bergstraße,106.2,3.2,3.5,49.669855,8.6318551
06432,LK Darmstadt-Dieburg,97,1,1.1,49.855994,8.8061081
06433,LK Groß-Gerau,136.3,2.9,2.1,49.902901,8.4812779
06434,LK Hochtaunuskreis,105.6,1.2,1.2,50.27895,8.5206755
06435,LK Main-Kinzig-Kreis,140.5,4.5,3.2,50.243344,9.2931037
06436,LK Main-Taunus-Kreis,102.5,1.5,1.6,50.097876,8.4478967
06437,LK Odenwaldkreis,106.6,0.1,0,49.675058,8.988983
06438,LK Offenbach,128.6,3.2,2.6,50.022103,8.8260025
06439,LK Rheingau-Taunus-Kreis,91.8,0.9,1.2,50.139484,8.0949772
06440,LK Wetteraukreis,97,6.3,6.7,50.352779,8.9212263
06531,LK Gießen,140,13.7,11.8,50.566243,8.8206054
06532,LK Lahn-Dill-Kreis,166,9.6,5.9,50.648039,8.3791535
06533,LK Limburg-Weilburg,161.8,6.3,4.2,50.427262,8.2174087
06534,LK Marburg-Biedenkopf,135.7,3,2.6,50.83295,8.7522191
06535,LK Vogelsbergkreis,118.4,0.1,0.2,50.638109,9.2796685
06611,SK Kassel,128.5,0.4,0.5,51.313095,9.4655528
06631,LK Fulda,186.5,8.7,4.6,50.564394,9.7600374
06632,LK Hersfeld-Rotenburg,194.8,3.7,2.4,50.909447,9.755943
06633,LK Kassel,97.6,0.2,0.5,51.482179,9.4568303
06634,LK Schwalm-Eder-Kreis,84.8,3,3.4,51.023792,9.3816677
06635,LK Waldeck-Frankenberg,94,1.7,2.2,51.188851,8.9051729
06636,LK Werra-Meißner-Kreis,107.7,1.1,1,51.192965,9.9315409
07111,SK Koblenz,95.5,8.9,9.9,50.34527,7.5872981
07131,LK Ahrweiler,92.1,1.5,1.8,50.461821,7.0515366
07132,LK Altenkirchen,140.3,14.5,10.9,50.751529,7.7516687
07133,LK Bad Kreuznach,86.1,0.6,0.6,49.825742,7.6943427
07134,LK Birkenfeld,103.2,4,4.5,49.717299,7.2890031
07135,LK Cochem-Zell,47.5,4.2,10.7,50.131267,7.1864285
07137,LK Mayen-Koblenz,104.8,8.4,8.4,50.32879,7.3401513
07138,LK Neuwied,137.7,4.5,3.4,50.555697,7.4755532
07140,LK Rhein-Hunsrück-Kreis,87.4,9,11,50.045793,7.5144261
07141,LK Rhein-Lahn-Kreis,87,7,8.8,50.263929,7.8582581
07143,LK Westerwaldkreis,105.3,9.3,9.1,50.551418,7.8785675
07211,SK Trier,58,5.5,10.5,49.763893,6.6508604
07231,LK Bernkastel-Wittlich,64.4,1.9,3.2,49.925053,6.9707499
07232,LK Bitburg-Prüm,76.4,5.2,7.9,50.062123,6.4072307
07233,LK Vulkaneifel,79.9,0.2,0.5,50.232909,6.7528997
07235,LK Trier-Saarburg,63.6,6.5,11,49.685867,6.83965
07311,SK Frankenthal,105.9,6.1,5.9,49.533715,8.3608617
07312,SK Kaiserslautern,83,5,6.1,49.434653,7.768566
07313,SK Landau i.d.Pfalz,76.6,8.8,13.4,49.197801,8.1146145
07314,SK Ludwigshafen,156.7,8.4,5.3,49.482783,8.4034095
07315,SK Mainz,112.8,6.5,5.9,49.971827,8.2525017
07316,SK Neustadt a.d.Weinstraße,61.4,5.5,9.2,49.343502,8.151743
07317,SK Pirmasens,113,3.8,4,49.19548,7.5914822
07318,SK Speyer,131.2,6,5,49.33493,8.4349693
07319,SK Worms,143.7,11.4,8.2,49.649206,8.3292565
07320,SK Zweibrücken,70.6,2.7,4.3,49.25695,7.3706429
07331,LK Alzey-Worms,98.6,7.7,8.4,49.756662,8.163596
07332,LK Bad Dürkheim,74.5,6.3,8.9,49.453295,8.1148562
07333,LK Donnersbergkreis,99.8,5.2,5,49.629734,7.9227696
07334,LK Germersheim,133,5.7,4.5,49.118287,8.2496793
07335,LK Kaiserslautern,78.1,4.1,5.2,49.419772,7.5305697
07336,LK Kusel,58.6,5.8,11.2,49.551705,7.4827308
07337,LK Südliche Weinstraße,80.2,8.3,11.9,49.118284,8.0029424
07338,LK Rhein-Pfalz-Kreis,102.6,5.8,5.6,49.418276,8.3627468
07339,LK Mainz-Bingen,80.9,4.5,5.6,49.917976,8.0895077
07340,LK Südwestpfalz,77.4,2.9,4.2,49.209205,7.6577925
08111,SK Stuttgart,133.4,3.2,2.5,48.776237,9.1728399
08115,LK Böblingen,97.8,6.6,7.2,48.67877,8.9426598
08116,LK Esslingen,140.8,5,3.6,48.648305,9.3692627
08117,LK Göppingen,153.6,9.4,6,48.664115,9.7216924
08118,LK Ludwigsburg,127,7.4,5.7,48.940047,9.1232145
08119,LK Rems-Murr-Kreis,129.6,4.5,4,48.897605,9.5033594
08121,SK Heilbronn,170.3,8,4.7,49.152943,9.1862714
08125,LK Heilbronn,148.8,4.6,3.3,49.251142,9.3064101
08126,LK Hohenlohekreis,194.1,5.2,2.7,49.267073,9.6237602
08127,LK Schwäbisch Hall,262,1.5,0.6,49.142524,9.9177417
08128,LK Main-Tauber-Kreis,116.7,3.3,3.3,49.558019,9.7317661
08135,LK Heidenheim,150.7,6.1,3.8,48.666696,10.18807
08136,LK Ostalbkreis,147.1,5.8,3.8,48.879565,10.099291
08211,SK Baden-Baden,118.8,1.9,1.8,48.748736,8.2360311
08212,SK Karlsruhe,107.9,3,2.9,49.015061,8.4138363
08215,LK Karlsruhe,118.8,3.3,2.8,48.909521,8.4076825
08216,LK Rastatt,156,2.2,1.4,48.882138,8.2248732
08221,SK Heidelberg,67.6,2,3,49.412503,8.6951968
08222,SK Mannheim,151.3,0.7,0.5,49.501151,8.5037233
08225,LK Neckar-Odenwald-Kreis,109.3,2.6,2.7,49.46632,9.2861412
08226,LK Rhein-Neckar-Kreis,107.3,2,1.8,49.30138,8.8351919
08231,SK Pforzheim,122,4.8,4.1,48.879669,8.7136825000000009
08235,LK Calw,120,4.4,3.7,48.678608,8.6359698
08236,LK Enzkreis,121,3.2,2.8,48.970536,8.8293892
08237,LK Freudenstadt,130.9,6,5.3,48.47664,8.4627154
08311,SK Freiburg i.Breisgau,67.7,4.7,7.5,47.995554,7.8181515
08315,LK Breisgau-Hochschwarzwald,67.3,4.8,7.6,47.927627,8.0907884
08316,LK Emmendingen,87.8,4.7,5.6,48.151376,7.9001308
08317,LK Ortenaukreis,109.9,8.7,7.9,48.423722,8.0146389
08325,LK Rottweil,128.4,7.5,7.3,48.259118,8.5273592
08326,LK Schwarzwald-Baar-Kreis,123.1,7.1,6.4,48.023167,8.4060389
08327,LK Tuttlingen,152.2,1.6,1.4,48.015076,8.7866082
08335,LK Konstanz,118.8,9.6,8.9,47.803101,8.9125795
08336,LK Lörrach,85.6,0.6,0.7,47.708577,7.7690697
08337,LK Waldshut,101,7.7,8.1,47.700909,8.2182879
08415,LK Reutlingen,121.2,8.7,7.3,48.407201,9.3681294
08416,LK Tübingen,108,3.6,3.3,48.482492,8.9878408
08417,LK Zollernalbkreis,137.9,1.2,0.6,48.268438,8.9325354
08421,SK Ulm,135,2.4,1.8,48.393934,9.9530146
08425,LK Alb-Donau-Kreis,129.5,2.2,1.7,48.294959,9.6984361
08426,LK Biberach,144.6,9.6,8,48.110471,9.7758573
08435,LK Bodenseekreis,103.5,2.9,2.7,47.736322,9.4051731
08436,LK Ravensburg,111.2,3.8,3.4,47.827299,9.780134
08437,LK Sigmaringen,148.8,8.9,6.3,48.042245,9.2369418
09161,SK Ingolstadt,108.8,5.9,6.9,48.751672,11.402123
09162,SK München,98.7,5.5,5.5,48.14924,11.550583
09163,SK Rosenheim,141.6,0.9,0.6,47.843242,12.113999
09171,LK Altötting,159.6,2.8,1.9,48.214904,12.710466
09172,LK Berchtesgadener Land,113.6,4.6,4.2,47.689,12.887468
09173,LK Bad Tölz-Wolfratshausen,90.8,5.2,6.1,47.724822,11.488162
09174,LK Dachau,130.7,6.3,5.5,48.330886,11.361832
09175,LK Ebersberg,90,1.5,1.6,48.072971,11.916733
09176,LK Eichstätt,106.4,0.6,1,48.894676,11.377377
09177,LK Erding,107.9,3.8,5.7,48.298097,12.003207
09178,LK Freising,128.8,1.9,1.8,48.445509,11.744176
09179,LK Fürstenfeldbruck,102.1,3.1,3.2,48.184625,11.20652
09180,LK Garmisch-Partenkirchen,90.6,7.4,9.7,47.556054,11.128266
09181,LK Landsberg a.Lech,75.2,2.9,3.8,48.024573,10.954265
09182,LK Miesbach,102.9,0.2,0.2,47.74006,11.815808
09183,LK Mühldorf a.Inn,183.8,0.7,0.4,48.241361,12.386674
09184,LK München,95.7,3.5,4.1,48.00965,11.655151
09185,LK Neuburg-Schrobenhausen,110.4,8.2,7.1,48.660193,11.202207
09186,LK Pfaffenhofen a.d.Ilm,123.2,2.5,2.4,48.593412,11.526963
09187,LK Rosenheim,102.9,0.4,0.4,47.946992,12.201827
09188,LK Starnberg,81.2,5.2,6.5,48.002201,11.287519
09189,LK Traunstein,170.2,2.7,1.7,47.89873,12.582843
09190,LK Weilheim-Schongau,98.8,6.7,7.4,47.787291,11.053654
09261,SK Landshut,147.4,3.1,2.7,48.543948,12.160501
09262,SK Passau,111.7,4.9,5.2,48.586691,13.415058
09263,SK Straubing,144.7,2.6,3.1,48.884215,12.574082
09271,LK Deggendorf,178.7,3.8,2.4,48.784508,13.005449
09272,LK Freyung-Grafenau,151.2,1,0.8,48.829498,13.515194
09273,LK Kelheim,170.9,12.5,6.9,48.823577,11.859606
09274,LK Landshut,155,2.1,1.6,48.660179,12.07862
09275,LK Passau,127.9,6.5,5.4,48.483276,13.260599
09276,LK Regen,143.5,2.2,1.5,49.02731,13.102578
09277,LK Rottal-Inn,149.6,1.4,1.3,48.431852,12.871481
09278,LK Straubing-Bogen,159.9,2.8,2.3,49.006714,12.696094
09279,LK Dingolfing-Landau,199.3,9.9,5,48.645574,12.614768
09361,SK Amberg,170.7,3.9,2.3,49.453399,11.849567
09362,SK Regensburg,145.5,3.2,3.2,49.013426,12.115815
09363,SK Weiden i.d.OPf.,130.1,5.2,4.3,49.668596,12.160877
09371,LK Amberg-Sulzbach,154.3,2.8,1.9,49.552624,11.731463
09372,LK Cham,227.5,3,1.4,49.24159,12.699762
09373,LK Neumarkt i.d.OPf.,121.6,14.8,14.3,49.215729,11.568611
09374,LK Neustadt a.d.Waldnaab,114,4.6,4.2,49.728007,11.892742
09375,LK Regensburg,138.4,3.4,3.5,49.094466,11.917086
09376,LK Schwandorf,184.8,11.7,6.4,49.36972,12.254654
09377,LK Tirschenreuth,133.2,3.2,2.2,49.900466,12.204166
09461,SK Bamberg,87.9,6,7.4,49.884114,10.904317
09462,SK Bayreuth,135.2,7,5.6,49.936515,11.58837
09463,SK Coburg,132.4,0.4,0.4,50.259816,10.964065
09464,SK Hof,339.1,3.2,1.1,50.315974,11.897202
09471,LK Bamberg,95.2,3.9,4.7,49.943897,11.112155
09472,LK Bayreuth,126.5,7.1,5.7,49.803643,11.487996
09473,LK Coburg,130.7,0.2,0.2,50.333655,10.880832
09474,LK Forchheim,97.8,5.8,6.1,49.721287,11.181625
09475,LK Hof,235.8,1.4,0.6,50.21569,11.789149
09476,LK Kronach,247,1.2,0.6,50.326531,11.37212
09477,LK Kulmbach,228.2,0.1,0.1,50.101067,11.484014
09478,LK Lichtenfels,168.4,0.8,0.3,50.10915,11.120815
09479,LK Wunsiedel i.Fichtelgebirge,181.4,0.1,0.2,50.09149,12.041012
