tag_nach_meldezeitraum,LKNR,count_michael,count_rki,diff,diff_round
2021-01-01,1001,46.58178430415687,46.5817843042,4.312994406063808e-11,0
2021-01-01,1002,68.07296773827565,68.0729677383,2.4343194127141032e-11,0
2021-01-01,1003,92.82778367893594,92.8277836789,-3.593925157474587e-11,-0
2021-01-01,1004,34.9144595740436,34.914459574,-4.359890226623975e-11,-0
2021-01-01,1051,52.55531446847807,52.5553144685,2.1927348825556692e-11,0
2021-01-01,1053,93.4253783727824,93.4253783728,1.759303813742008e-11,0
2021-01-01,1054,27.719025495477577,27.7190254955,2.242117602690996e-11,0
2021-01-01,1055,39.892489740150296,40.3911458619,0.4986561217497041,0
2021-01-01,1056,151.8492390138657,152.1655915951,0.3163525812342982,0
2021-01-01,1057,36.52300949598247,36.523009496,1.752908929120167e-11,0
2021-01-01,1058,39.76679873621843,39.7667987362,-1.8431478565617e-11,-0
2021-01-01,1059,67.60921871582255,67.6092187158,-2.255262643302558e-11,-0
2021-01-01,1060,68.9095336881032,68.9095336881,-3.197442310920451e-12,-0
2021-01-01,1061,54.19309534168365,54.1930953417,1.6349588349839905e-11,0
2021-01-01,1062,148.26586280902373,148.265862809,-2.3732127374387346e-11,-0
2021-01-01,2000,113.1409720271127,113.3033753362,0.16240330908730982,0
2021-01-01,3101,92.21911261156508,92.2191126116,3.491607003525132e-11,0
2021-01-01,3102,56.57247509372813,56.5724750937,-2.8130386908742366e-11,-0
2021-01-01,3103,61.10749290429441,61.1074929043,5.5919713304319885e-12,0
2021-01-01,3151,125.19615007676053,125.1961500768,3.9463543544115964e-11,0
2021-01-01,3153,40.354532914624485,40.3545329146,-2.4485302674293052e-11,-0
2021-01-01,3154,116.10458174967414,116.1045817497,2.5863755581667647e-11,0
2021-01-01,3155,39.30906754356125,39.3090675436,3.8753000808355864e-11,0
2021-01-01,3157,80.85993427348461,80.8599342735,1.539035565656377e-11,0
2021-01-01,3158,57.68169734664192,57.6816973466,-4.192202140984591e-11,-0
2021-01-01,3159,66.86275652448619,66.8627565245,1.3812950783176348e-11,0
2021-01-01,3241,103.79262216806454,104.0518876689,0.2592655008354541,0
2021-01-01,3251,77.84825578449392,77.8482557845,6.0822458181064576e-12,0
2021-01-01,3252,96.26453224188651,96.2645322419,1.3486101124726702e-11,0
2021-01-01,3254,78.31279435277739,78.3127943528,2.2609469851886388e-11,0
2021-01-01,3255,48.25569843027051,48.2556984303,2.948752353404416e-11,0
2021-01-01,3256,93.91218387017052,93.9121838702,2.9473312679328956e-11,0
2021-01-01,3257,62.09605880116588,62.7296920542,0.6336332530341195,1
2021-01-01,3351,86.02823290188871,86.0282329019,1.1283418643870391e-11,0
2021-01-01,3352,33.83189084923095,33.8318908492,-3.0951241569709964e-11,-0
2021-01-01,3353,78.21373967794806,78.2137396779,-4.8061110646813177e-11,-0
2021-01-01,3354,76.42733206642981,76.4273320664,-2.9814373192493804e-11,-0
2021-01-01,3355,51.048392790229116,51.0483927902,-2.9118041311448906e-11,-0
2021-01-01,3356,35.98764131732322,36.8653886665,0.8777473491767864,1
2021-01-01,3357,66.55187993796632,66.551879938,3.367972567502875e-11,0
2021-01-01,3358,162.07801070567913,162.0780107057,2.086153472191654e-11,0
2021-01-01,3359,91.92614614301361,92.4151150055,0.48896886248638793,0
2021-01-01,3360,38.965677732197555,38.9656777322,2.4442670110147446e-12,0
2021-01-01,3361,32.81485856795957,32.814858568,4.04298816647497e-11,0
2021-01-01,3401,145.69553501205533,145.6955350121,4.46789272245951e-11,0
2021-01-01,3402,48.08366557810591,48.0836655781,-5.9046101341664325e-12,-0
2021-01-01,3403,59.736096571384635,59.7360965714,1.5361933947133366e-11,0
2021-01-01,3404,126.47427247036327,126.4742724704,3.672084858408198e-11,0
2021-01-01,3405,44.68451418733326,44.6845141873,-3.325340003357269e-11,-0
2021-01-01,3451,68.07679061981915,68.0767906198,-1.91562321560923e-11,-0
2021-01-01,3452,63.25977627125792,63.2597762713,4.207834081171313e-11,0
2021-01-01,3453,125.37936044808474,125.3793604481,1.5262457964126952e-11,0
2021-01-01,3454,88.08578576802853,88.085785768,-2.8535396268125623e-11,-0
2021-01-01,3455,27.35451450802399,27.354514508,-2.3987922759260982e-11,-0
2021-01-01,3456,176.43370612851956,176.4337061285,-1.9554136088117957e-11,-0
2021-01-01,3457,38.06601232167537,38.0660123217,2.4627411221445072e-11,0
2021-01-01,3458,105.43204217281688,105.4320421728,-1.688249540165998e-11,-0
2021-01-01,3459,127.90437890974084,127.9043789097,-4.084199645149056e-11,-0
2021-01-01,3460,107.83256543476129,107.8325654348,3.871036824421026e-11,0
2021-01-01,3461,63.21754738493842,63.2175473849,-3.841904572254862e-11,-0
2021-01-01,3462,42.159997189333524,42.1599971893,-3.3523406273161527e-11,-0
2021-01-01,4011,88.80134047737768,88.8013404774,2.2325252757582348e-11,0
2021-01-01,4012,75.67558054609611,75.6755805461,3.879563337250147e-12,0
2021-01-01,5111,88.44192661892947,88.4419266189,-2.9473312679328956e-11,-0
2021-01-01,5112,123.32409572356153,123.3240957236,3.8468783714051824e-11,0
2021-01-01,5113,167.65049076806918,167.8220879951,0.1715972270308157,0
2021-01-01,5114,141.15039772752257,141.1503977275,-2.2566837287740782e-11,-0
2021-01-01,5116,88.49421914386632,88.4942191439,3.367972567502875e-11,0
2021-01-01,5117,160.57949270945662,160.5794927095,4.3371528590796515e-11,0
2021-01-01,5119,166.06251542009073,166.0625154201,9.265477274311706e-12,0
2021-01-01,5120,89.81659451400242,89.816594514,-2.4158453015843406e-12,-0
