Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
03157,LK Peine,136,156.1,171.3,11,0.7,21.5,32.9,11.6,1.1,22.3,32.9,11.5,1.3,22.6,33,11.8,2.1,22.5,33.1,12.1,2.1,21.9,33.3,13.3,2.8,23.1,33.7
03158,LK Wolfenbüttel,80.7,101.6,113.2,1.6,0,1,6,1.6,0,1,6,1.6,0,1.1,6,1.4,0,0.9,4.7,1.4,0,0.9,5.1,1.5,0,0.8,6
03159,LK Göttingen,60.5,78.9,86.9,2.8,0.9,4.2,7.3,3.7,1.7,5.7,7.8,4.3,2.6,5.8,8.3,4.9,2.7,7.1,10.1,5.2,3,7.7,10.8,6.8,6.2,9.4,11.4
03241,Region Hannover,118.4,128.5,143.9,7.7,6.3,11.8,17.4,7.4,6.2,11.2,16.5,7.3,5.8,11.1,16.6,7.3,5.9,11.4,16.5,7.1,5.6,11.2,16.4,7,5.7,10.9,16.2
03251,LK Diepholz,74.7,94.5,115.2,17.8,19,27.2,32.3,21.4,21.7,27.5,34.2,22.2,22.5,28,34.1,23.3,23.7,28.6,35,24.1,23.9,28.9,35.3,24.5,24.4,28.7,36.4
03252,LK Hameln-Pyrmont,77.7,87.7,100,12.3,11.4,21.2,27,13,12.8,21.7,27.5,13.3,13.1,22.6,27.6,13.7,13.5,22.6,27.7,14.1,14.4,22.7,27.7,14.3,14.1,22.8,28
03254,LK Hildesheim,77.9,92.1,106.4,6.5,0.6,10.8,22.8,7.2,0.9,15.6,23.6,7.4,1.1,16.6,23.6,7.5,1.1,16.9,23.7,7.7,1.2,17.1,23.5,8.6,1.4,19.5,24.3
03255,LK Holzminden,69.6,80.9,89.1,3.7,0,0.9,15.2,3.9,0,1.9,15.4,4.1,0,2.7,15.7,4.4,0,3,16.2,4.5,0,3.4,15.3,5,0.8,3.7,16.9
03256,LK Nienburg (Weser),72.6,96.8,106.1,0.7,0,0.3,1.5,0.7,0,0.5,1.5,0.6,0,0,1.6,0.7,0,0.3,1.6,0.7,0,0.7,1.6,0.6,0,0,1.5
03257,LK Schaumburg,99,118.5,135.2,7,1.8,8,20.6,7,1.8,8.2,20.6,7,1.8,8.5,20.6,7.2,2.1,9.3,19.6,7.4,2.8,10.2,20,8.2,3.2,15.5,21.1
03351,LK Celle,94.4,118,137.8,8.2,3.5,10.3,28.4,8.4,3.6,10.6,28.7,8.5,3.5,10.6,29.1,8.4,3,10.7,30.1,8.6,3,10.9,30.6,9.3,3.6,15.5,32.3
03352,LK Cuxhaven,70.7,78.4,85.2,6.4,0.7,9.3,24.9,7.3,1.6,10.3,26.4,8.1,2,10.9,27,8.8,2.6,11.9,28.6,9.1,2.5,14.7,28.9,9.6,3.7,14.6,28.4
03353,LK Harburg,78,83.7,102.2,0.8,0,0,0.6,0.8,0,0,0.7,0.9,0,0.5,1.3,1,0,0.6,1.4,1.1,0.5,0.6,1.4,1.4,0.6,1.1,1.5
03354,LK Lüchow-Dannenberg,53.3,64.5,119.6,4.8,0,0,12.6,5,0,1.7,13.5,5,0,0,14.1,5.1,0,0,16.4,5.4,0,1.8,19.4,4.7,0,0,14.3
03355,LK Lüneburg,61.1,77.4,83.5,9.6,9.3,14.3,21.2,10.1,9.6,15.5,23.7,10.6,9.8,16.5,23.7,10.6,9.8,16.2,23.8,10.6,9.7,16.5,23.8,10.3,8.7,16.3,21.5
03356,LK Osterholz,60.6,71.3,80.7,7.6,6.2,10.6,18.8,8.3,6.8,11.6,18.8,8.2,6.6,10.8,17.9,8.1,6.3,11.4,16.9,8,6.3,10.4,17,8.5,6.7,11.8,18.3
03357,LK Rotenburg (Wümme),66.5,84.2,101.3,12.8,6.2,16.5,36.9,17.4,12,28.7,40.3,19.4,14.3,31.3,42,20.2,14.7,31.9,43.5,20.5,14.1,32.4,45.9,21,13.9,34.2,47.1
03358,LK Heidekreis,62.7,85.1,100.9,12.7,10.2,19.8,28.6,14.4,10.9,21.6,28.5,14.8,10.7,21.7,29.9,14.9,11.1,21.4,30,14.7,10.7,21.9,30.9,14.8,10.6,22,31.9
03359,LK Stade,76,90.2,113.7,15.2,15,21.4,32.8,17.6,16.2,22.6,33.3,17.8,16.2,22.9,33.1,17.4,15.7,22.9,32.2,17.3,15.7,22.6,32.5,17.6,15.9,21.9,33.8
03360,LK Uelzen,71,96.8,109.3,4.8,0,2,19.9,4.9,0,2.6,20,5,0,2.8,20,5.3,0,2.9,20.2,5.5,0,3,20.3,5.8,0,3.2,21.5
03361,LK Verden,75.7,98.1,119.4,4,0.9,3.3,12.3,4,1.1,3.4,12.4,3.9,0.9,2.8,12.4,3.9,0.9,2.7,12.6,4,1.3,2.8,12.7,4.1,1.4,3.4,12.5
03401,SK Delmenhorst,126.2,177.9,194.6,2.1,0,0,1.6,2.2,0,0,2.1,2.2,0,0,2.6,2.3,0,0.7,3.7,2.4,0,1,4.8,2.7,0,1.1,8.1
03402,SK Emden,81.8,111.7,136.2,15.4,6.9,29,39.9,18.2,8.7,30.2,48.9,18.4,8.3,30.3,49.3,18.9,9.1,30.7,50.1,18.1,8.3,30.3,47.7,18.4,8.3,30.2,49.7
03403,SK Oldenburg,80.4,92.3,113.6,8.5,5,11.6,17,9.3,5.4,12.8,17.4,9.5,5.3,12.8,17.8,9.6,5.3,12.7,18.7,9.6,5,12.8,19.5,9.9,4.8,12.8,24.1
03404,SK Osnabrück,125.2,152.5,173,15.9,15.6,21.6,28.2,19.3,18.6,26,32,20.3,19.4,27,33,21.1,20.9,29.7,34.2,21.8,21.3,30.3,34.7,24.2,23.4,30.9,36
03405,SK Wilhelmshaven,53.1,64.7,76.2,23,16.8,30.1,59.9,37.9,32,49.3,71.6,48.8,39.8,62.4,89.2,60.7,54.7,76.5,114.9,64.9,61.4,80.5,130.7,77.7,72.1,88.8,141.7
03451,LK Ammerland,88,98.5,112.9,1.6,0,0.7,4,1.7,0,0,3.7,1.7,0,0.7,4,1.6,0,0.7,3.9,1.6,0,0.7,2,1.6,0,0,1.9
03452,LK Aurich,53.4,70.8,75.9,10.5,5.7,15.7,30.5,13,8.2,20.1,32.2,13.9,9.5,21.1,32.5,14.4,9.5,21.1,34.3,14.3,9.5,21.1,34.4,14.8,10.2,22.4,35.5
03453,LK Cloppenburg,164.3,204.7,220.4,9.8,5.7,12.8,29,12.2,8.1,16,33.9,13,9,17.4,33.6,13.8,8.5,19.1,34.5,14.3,9.3,19.1,35.6,16.9,11.4,25.1,38.6
03454,LK Emsland,116.6,150.2,167.2,13.2,11.1,19.1,25,14.9,12.2,21.4,25.4,15.2,12.5,21.8,25.8,15.4,12.6,22.3,26.2,15.7,13.5,22.5,26.6,17.7,17.4,25.2,30.5
03455,LK Friesland,43.8,51.7,59.8,8.4,2.7,6.3,12.8,10.8,5.2,9.8,15.8,12.3,6.4,12.3,21.4,14,6.9,12.7,25.6,14.5,7,13.6,26.9,15.9,8.2,14.1,27.8
03456,LK Grafschaft Bentheim,111.7,136.5,172.7,0.8,0,0,0.5,0.8,0,0,0.5,0.8,0,0,0.7,0.9,0,0,0.7,0.9,0,0,0.7,1,0,0,0.7
03457,LK Leer,110.2,123.7,152,9.8,0.5,17.5,30.5,10.1,0.5,17.6,30.5,10.2,0.5,18.3,30.6,10.5,0.6,18.8,30.6,10.8,0.6,19.3,30.6,12.1,3.2,20.3,31.4
