Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
05770,LK Minden-Lübbecke,131.3,158.2,173,0.5,0.2,0.3,0.9,0.6,0.2,0.4,0.9,0.6,0.3,0.5,1.2,0.7,0.3,0.5,1,0.7,0.3,0.5,1.1,0.7,0.3,0.5,1.3
05774,LK Paderborn,85.8,113,138.9,7.7,6.1,11.4,18.4,10.4,8.1,14.7,21.8,11.8,9.2,16.5,23.9,13.4,10.9,19.1,25,13.9,10.4,19.4,26.1,15.1,11.7,21.5,27.9
05911,SK Bochum,116.3,141.9,158.4,1.4,0.6,2.1,3.8,1.6,0.7,2.3,4,1.7,0.8,2.4,4.6,1.7,1,2.4,4.6,1.7,1,2.4,4.8,1.8,1.3,2.2,4.3
05913,SK Dortmund,132.3,185.5,203.7,1.4,0.6,1.7,3,1.7,0.8,2,3.6,1.9,1.1,2.3,3.7,2,1.2,2.6,4,2.1,1.2,2.6,4.2,2.3,1.7,3,4.7
05914,SK Hagen,191.3,249,269.2,1.8,1.4,2.4,3.7,2.7,2.3,3.8,5.2,3.1,3,4,5.9,3.3,3.1,4.5,6.1,3.4,3.1,4.4,6.4,3.4,3.1,4.6,6.5
05915,SK Hamm,152.2,218.3,277.6,4.4,2.7,5.5,8.8,6.8,5.2,8,12.4,8.2,7,9.7,15.4,9.2,8.3,11,16.4,9.5,8.6,11.6,16.9,10.1,9.1,12,18
05916,SK Herne,172.8,199.2,257.5,2.4,0.9,2.1,3.4,3.4,1.5,3.3,5.5,4,2.2,4.2,9.5,4.7,2.6,4.9,11.7,5,2.7,5.2,13.5,5.5,3.1,5.7,16.1
05954,LK Ennepe-Ruhr-Kreis,108.7,132.7,143.8,7.5,6.9,10.7,13,8.1,8,11.1,13.7,8.4,8.2,10.9,14.3,8.4,8.2,11.4,15,8.4,8.2,11.3,14.8,8.5,8,11.8,15.2
05958,LK Hochsauerlandkreis,117.7,140.6,166.1,0.3,0,0,0.6,0.3,0,0.2,0.6,0.3,0,0.3,0.6,0.3,0,0.3,0.6,0.3,0,0.3,0.6,0.4,0,0.4,0.6
05962,LK Märkischer Kreis,187.7,220.4,233,0.3,0.2,0.4,0.9,0.5,0.4,0.6,1,0.5,0.4,0.7,1,0.6,0.5,0.8,1.3,0.6,0.5,0.8,1.3,0.7,0.6,1,1.5
05966,LK Olpe,122.1,170.4,187.4,0.1,0,0,0.5,0.2,0,0,0.8,0.2,0,0,0.8,0.2,0,0,0.8,0.2,0,0,0.9,0.2,0,0,0.9
05970,LK Siegen-Wittgenstein,147.7,187.1,203.7,3,1.5,4.7,8,3,1.4,4.7,7.8,3,1.5,4.7,7.9,3.1,1.4,4.6,8.1,3,1.4,4.6,8.1,3.1,1.5,4.7,8.1
05974,LK Soest,80.5,91.7,113.5,7.3,6.5,9.4,13.2,8.8,7.6,11.3,15,9.4,7.6,11.5,15.6,9.9,8,11.8,16.8,10,8,13,17.6,10.7,9.5,13.5,19
05978,LK Unna,128.4,176.7,225.9,1.8,0.3,0.7,2.1,2.1,0.4,0.9,2.7,2.2,0.5,0.9,2.8,2.4,0.5,1.2,3.4,2.6,0.8,1.4,3.9,3.3,1.6,3.2,4.1
06411,SK Darmstadt,85.8,105.2,126,1.7,0.5,1.5,5.8,2,0.9,2.1,6,2.3,1.2,2.6,6.7,2.8,1.4,3.5,7.3,3.2,1.5,4.4,8.1,3.9,1.7,5.8,9
06412,SK Frankfurt am Main,132.4,154,181.5,2.8,1.8,3.4,6.2,2.9,1.8,3.8,6.1,3,1.7,4,6.4,2.9,1.9,4.3,6.8,2.9,1.9,4.1,6.9,2.7,1.4,4,6.9
06413,SK Offenbach,216.9,259.4,287.6,5.3,4.9,7.6,10.4,6.6,6.3,9.1,11.3,7.2,6.9,9.8,12,7.6,7.1,10.5,13.2,7.7,7.1,10.8,13.4,7.6,7.1,10.4,12.8
06414,SK Wiesbaden,110.2,139.1,166.3,2.4,0.4,1.6,7.4,2.8,0.5,2.4,8.9,2.8,0.5,1.9,8.9,2.9,0.6,2.5,9,3,0.6,3.1,8.9,2.8,0.8,2.8,8.6
06431,LK Bergstraße,106.2,123.6,160.1,3.5,0.8,5,11.6,5.2,2.2,6.5,14.3,6.4,2.7,9.1,17.9,7.7,3.9,10.8,18.6,8.5,5.7,11.4,19.1,10.1,7.2,12.3,21.9
06432,LK Darmstadt-Dieburg,97,116.2,122.2,1.1,0.5,1.4,2.4,1.3,0.7,1.7,2.9,1.4,0.9,2,3,1.5,1,2.1,3.1,1.6,1.1,2.3,3.3,2,1.2,3.1,4.8
06433,LK Groß-Gerau,136.3,163.3,179.7,2.1,1.6,2.8,4.5,2.5,1.9,3.3,5.7,2.8,2.3,3.7,5.8,3,2.5,4,6.2,3.2,2.8,4.3,6.2,3.4,3.2,4.8,6.6
06434,LK Hochtaunuskreis,105.6,128.2,142.6,1.2,0,0.9,3.9,1.2,0,1,3.9,1.2,0.3,1,4,1.3,0.4,1.1,4.1,1.4,0.4,1.2,4.2,1.5,0.4,1.9,4.2
06435,LK Main-Kinzig-Kreis,140.5,167.1,179.7,3.2,2.6,4.4,6.1,5.1,4.2,7,9.1,5.9,4.8,7.4,10.1,6.5,6,7.9,10.7,6.6,6.2,8.5,10.8,7,6.2,8.7,11.4
06436,LK Main-Taunus-Kreis,102.5,132,140.4,1.6,0,2.2,4.2,1.7,0,2.6,4.2,1.7,0,2.6,4.2,1.8,0,2.5,4.4,1.8,0,2.5,4.4,2,0.5,2.6,5
06437,LK Odenwaldkreis,106.6,139.8,160.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06438,LK Offenbach,128.6,149.6,156.2,2.6,2,3.7,6.1,3.2,2.7,4.6,6.9,3.6,3.3,5,7.2,3.6,3.5,5.2,7.2,3.6,3.4,5,7.3,3.7,3.5,5.3,7.6
06439,LK Rheingau-Taunus-Kreis,91.8,123.7,138.7,1.2,0,1.5,3.2,1.7,0.4,3.4,5,2,0.5,3.7,5.4,2.1,0.7,3.6,6.3,2.1,0.7,3.5,6.2,2.7,1.3,4.4,6.7
06440,LK Wetteraukreis,97,111.9,121.2,6.7,7.1,9.8,12.8,10.1,9.7,13.3,18.8,12.2,12,15.6,20.2,15,14.5,17.8,22.5,16.9,15.9,20.3,23.7,21.5,21.8,25.1,31.7
06531,LK Gießen,140,179.2,212.3,11.8,2.6,9.9,29.5,17.4,5.4,19.2,40.2,20.3,5.2,22.1,43.7,23.3,6,27.4,71.2,24.5,6.8,29.1,74.7,29.5,10.4,40.5,87.9
06532,LK Lahn-Dill-Kreis,166,191.6,210.3,5.9,3,8.4,14.7,7.6,4.7,9,19.4,7.9,5.1,8.8,20.1,8.1,5.1,9.6,21.2,8.3,5.3,10.1,22.3,8.8,6.3,11.3,24.7
06533,LK Limburg-Weilburg,161.8,189.8,259.2,4.2,1.9,6,10.4,5.3,2.7,7.1,13.6,5.8,3,7.6,14.6,6.2,4,7.7,15.3,6.3,4.1,9.2,15.1,6.4,4.2,10.2,15.1
06534,LK Marburg-Biedenkopf,135.7,163.4,187.7,2.6,0.6,2.4,4.2,3.4,1.1,3,6.6,3.6,1.5,3.1,6.5,3.7,2,3.1,6.7,3.8,2,3.2,7,3.8,1.4,3,8
06535,LK Vogelsbergkreis,118.4,162.3,197.1,0.2,0,0,0.8,0.3,0,0,1.3,0.3,0,0,1.4,0.5,0,0.4,2.1,0.4,0,0.5,1.8,0.5,0,0.7,2.1
06611,SK Kassel,128.5,173.4,198.3,0.5,0,0.3,0.6,0.6,0,0.5,0.8,0.7,0.3,0.6,0.9,0.8,0.4,0.6,1,0.9,0.5,0.7,1,1,0.7,0.9,1.2
06631,LK Fulda,186.5,238,269.5,4.6,3.8,5,9.1,6.1,4.6,6.5,12.6,6.8,5.1,8.4,13.8,7.3,5.4,9,14.9,7.5,5.7,9.2,15.6,7.9,5.9,10.2,16.3
06632,LK Hersfeld-Rotenburg,194.8,257.8,274.9,2.4,0.6,1.7,5.5,2.4,0.9,1.7,5.4,2.4,0.9,1.9,5.4,2.4,1,1.9,5.5,2.5,1.1,1.9,5.7,2.6,1.3,2.1,5.7
06633,LK Kassel,97.6,127.2,154.1,0.5,0,0,0.4,0.5,0,0.3,0.7,0.6,0,0.3,0.9,0.6,0,0.4,0.9,0.7,0,0.4,1,0.8,0.3,0.7,1.1
06634,LK Schwalm-Eder-Kreis,84.8,118.1,132.2,3.4,0.7,3.7,8.9,3.7,1.3,3.7,9.4,3.4,1.3,3.8,9.3,3.3,1.3,3.3,8,3.2,1.3,3.4,6.4,2.4,1.1,2.6,4.6
06635,LK Waldeck-Frankenberg,94,111.9,122.1,2.2,0,0,9.1,2.7,0,0,10.8,3.1,0,0.5,17,3.2,0,0.5,17,3.3,0,0.7,17.1,3.3,0,0.8,17.8
06636,LK Werra-Meißner-Kreis,107.7,130.2,153.8,1,0,0,1.4,1.2,0,0,4,1.1,0,0.6,3.2,1.1,0,0,3.4,0.9,0,0,2.7,0.9,0,0.8,2.4
07111,SK Koblenz,95.5,126.3,141.2,9.9,7.1,14.5,19.8,11.9,9.7,16.3,22.3,12.5,10.7,16.6,24.7,13.4,12,19.2,24.9,13.2,10.7,18.9,24.5,14.1,12.4,20.2,24.8
07131,LK Ahrweiler,92.1,110.9,116.6,1.8,0,1.2,4.9,2.5,0,2.3,7.5,2.7,0,3.3,8.4,3.1,0.7,3.4,9.3,3.3,0.8,3.6,11,3.7,0.9,5.9,11.4
07132,LK Altenkirchen,140.3,155.7,187.3,10.9,9.1,14.5,21.5,12.2,10.5,15.7,23.2,13.1,10.6,17.6,24.7,13.7,10.8,18.1,25.7,13.9,11,18.6,26.1,14.8,11.5,19.8,29.8
07133,LK Bad Kreuznach,86.1,131.6,143.4,0.6,0,0,0.6,0.6,0,0,0.8,0.6,0,0,0.8,0.7,0,0,0.9,0.7,0,0,0.9,0.8,0,0,1
07134,LK Birkenfeld,103.2,138.4,149.5,4.5,2.7,6.4,12.4,7,5.3,9.1,14.4,8.6,7.7,9.7,19.2,9.4,7.7,11.4,20.8,9.7,7.7,12.2,20.8,9.8,7.7,11.9,22.4
07135,LK Cochem-Zell,47.5,63.5,76.4,10.7,7.5,14.7,22.3,14.4,8.8,16.3,30.6,15.5,11.4,18.1,30.9,16.2,11.6,18.4,32.7,15.9,11.4,18.1,32.7,16.1,11.4,18.1,32.7
07137,LK Mayen-Koblenz,104.8,147.9,165,8.4,6.9,10.8,14.8,9.2,7.1,12,18.4,9.1,7.1,10.5,18.6,8.7,6.8,10.8,19,8.4,6.3,10.4,17.9,9,6.4,11.5,19
07138,LK Neuwied,137.7,178.1,199,3.4,0,0.8,14,3.5,0,0.8,14.1,3.5,0,0.7,14.2,3.4,0,0.7,14.3,3.5,0,0.7,14.4,3.9,0,2.9,15
07140,LK Rhein-Hunsrück-Kreis,87.4,110.5,122.7,11,8.9,15.5,27.1,11,9.6,15.5,27.3,11.1,10.1,15.5,27.5,11.3,10.4,15.5,27.8,11.3,10.4,15.5,28.2,11.3,10.4,15.5,27.6
07141,LK Rhein-Lahn-Kreis,87,102,122.7,8.8,5.3,11.1,25,9,5.7,11.1,23.9,8.6,5.7,10.7,21.1,8.6,5.7,11.3,21.4,8.6,5.3,11.3,21.7,8.9,6.5,12.4,23.6
07143,LK Westerwaldkreis,105.3,131.8,140.2,9.1,8,13.5,16.3,9.1,8,13.7,17.1,9.1,8.1,13.8,17.1,9.1,8.2,13.6,16.6,9.1,8.5,13.8,16.3,9,8.5,13.7,16.2
07211,SK Trier,58,74.6,91.1,10.5,7.9,12.8,22.6,12.2,9.6,15.1,25.1,12.7,9.7,15.2,25.1,12.7,9.7,15.7,24.8,12.7,9.7,15.2,24.9,13.2,10.3,15.9,25.6
07231,LK Bernkastel-Wittlich,64.4,104.9,123,3.2,1.8,3.9,7.4,3.2,1.8,3.9,7.5,3.2,1.8,3.9,7.6,3.3,1.9,4.2,7.9,3.4,1.9,4.5,8.1,3.4,1.8,3.9,8.8
07232,LK Bitburg-Prüm,76.4,94.2,118.9,7.9,3.9,10.1,15.1,9.2,4.4,11.8,17.3,9.2,5.7,12.2,16.5,9.8,6,13.7,17.8,10.2,6.5,14.1,18,11.2,7.2,14.8,20
07233,LK Vulkaneifel,79.9,109.2,128.3,0.5,0,0,0,0.5,0,0,0.3,0.5,0,0,0.5,0.6,0,0,1.1,0.6,0,0,1.6,0.6,0,0,2.9
07235,LK Trier-Saarburg,63.6,77.9,94.5,11,9.7,15.7,21.5,12.7,9.9,18,22.8,13.4,10.6,18.1,24,13.6,10.6,18.7,25.3,13.6,10.6,18,27.3,13.9,10.4,19.2,28.8
07311,SK Frankenthal,105.9,139.5,167.8,5.9,4.4,7.9,13.4,6.7,4.8,10.1,14.8,7.1,6.2,11.1,15.1,7.5,6.5,11.1,15.5,7.7,6.9,11.1,15.1,6.8,4.9,9.9,14.7
07312,SK Kaiserslautern,83,138.2,155.7,6.1,3.6,8.8,12.5,7.5,6.2,9.8,14.1,7.5,6.2,9.4,14.7,7.7,6.2,9.5,14.7,7.5,6.2,9.4,14.7,7.2,5.8,9.4,14.7
07313,SK Landau i.d.Pfalz,76.6,117.3,132.2,13.4,8.2,20.8,29.2,18.4,15.1,22.4,38.8,20.3,15,24.2,40.8,22.7,17,28.3,45.4,23.8,18.8,32,50.1,26.6,22,33.4,55.6
07314,SK Ludwigshafen,156.7,192.8,245.7,5.3,4.2,7.7,9.3,5.6,4.5,7.8,9.9,5.6,4.7,7.6,10.1,5.6,4.7,7.9,10.2,5.5,4.8,7.9,10.3,5.6,5,7.7,10.4
07315,SK Mainz,112.8,152.6,196,5.9,4.8,8.1,12,5.8,5,8,12,5.8,4.8,7.9,12,5.8,4.8,8,12,5.6,4.6,7.7,11.9,5.7,5.2,7.9,11.4
07316,SK Neustadt a.d.Weinstraße,61.4,82.6,92,9.2,7.1,12.4,18,11,9,14,25.8,11.4,9.3,14.1,25.7,12,10.2,15.5,25.7,12.1,10.2,15.4,25.7,13,10.4,15.6,26.6
07317,SK Pirmasens,113,144.2,161.1,4,0,4.4,13.3,4.1,0,4.7,13.3,4.1,0,4.7,13.4,4.2,0,4.3,13.5,4.3,1.5,4.4,13.4,4.2,0.8,4.2,13.4
07318,SK Speyer,131.2,182,201.5,5,1.8,4.9,14,5.9,2.5,6.2,16.2,6.4,3,6.7,16.3,7,3.5,6.8,17.8,7.4,4.4,7,17.9,6.9,4.4,7.9,14.2
07319,SK Worms,143.7,202.3,218.9,8.2,7.3,11.6,17.9,8.7,7.3,12.4,18.4,9.1,7.9,12.6,18.4,9.7,8.6,13.1,18.8,9.9,8.6,13.8,18.9,10,8.6,13.4,18.8
07320,SK Zweibrücken,70.6,92.9,136,4.3,0,5.3,10.6,4.6,0,5.7,11.6,4.8,0,5.8,13.4,5,0,6.4,14,5,0,6.2,14.2,4.5,0,5.8,13.1
07331,LK Alzey-Worms,98.6,131.3,146.1,8.4,7.2,12.4,16.1,8.6,7.1,12.7,16.6,8.9,7.5,12.8,17.4,9.1,8.2,13,18.4,9.2,8.2,13.2,19.1,9.6,8.2,12.8,20.5
07332,LK Bad Dürkheim,74.5,96.7,119.3,8.9,6.3,13.3,20.4,9.6,7.5,13.6,20.6,9.8,8,14.6,18.9,10.3,8.2,14.8,21.6,10.5,8.3,14.8,21.8,11.1,8.6,14.8,21.6
07333,LK Donnersbergkreis,99.8,148.1,185.6,5,1.6,7.4,14.4,6.3,2.9,9.2,15.3,6.5,3.3,11.3,15.2,7.2,4.5,12.1,16.7,7.6,4.5,12.8,17.3,7.7,4.5,12.9,17.9
07334,LK Germersheim,133,154.2,162.8,4.5,1.6,5.4,12.6,4.3,1.2,5,12.4,3.8,1,4.7,12,3.8,0.9,4.9,11.8,3.9,1,4.8,11.8,4.1,0.8,4.7,12.3
07335,LK Kaiserslautern,78.1,115.3,137.5,5.2,3.8,7.2,10.4,6,4.5,7.9,11,6,4.3,8.1,11.3,6.2,4.8,8.3,11.9,6,4.3,8.2,11.5,6.4,4.8,8.9,12.4
07336,LK Kusel,58.6,81.2,104,11.2,8.9,14.4,24.6,14.5,10.4,20.3,26.6,15.9,11.8,22.1,28.8,16.7,13.5,23.1,33.6,17,13.5,23.4,34.1,17.2,13.4,23.5,35.9
07337,LK Südliche Weinstraße,80.2,105.5,122.9,11.9,9.3,16.1,27.3,14.5,10.5,17.9,30.2,15.4,9.7,20.6,33,16.4,10.7,22,36.9,16.6,11.1,22.6,36.9,16.5,10.6,23.7,39.5
07338,LK Rhein-Pfalz-Kreis,102.6,125.7,133,5.6,4,8.5,12.2,6,5,8.5,13.6,5.9,4.6,7.9,13.5,5.9,4.9,8.7,13.3,5.9,4.8,7.6,13.5,6,4.6,8.4,13.8
07339,LK Mainz-Bingen,80.9,107.1,125.7,5.6,4.7,7.7,12.5,5.6,4.7,7.5,12.6,5.5,4.6,7.3,12.8,5.5,4.3,7.6,13.5,5.4,4.1,7.4,13.8,5.8,4.1,8.1,14.4
07340,LK Südwestpfalz,77.4,93.9,100.2,4.2,1.3,6.7,11.2,4.3,1.5,6.4,10.2,4.4,1.7,6.6,10.3,4.6,2,6.6,10.6,4.7,2,6.6,11,4.5,2.2,6.4,10.5
08111,SK Stuttgart,133.4,207.6,216.7,2.5,1.9,3.4,5.8,2.4,1.9,3.3,5.7,2.4,1.6,3.3,5.6,2.4,1.6,3.1,5.4,2.3,1.6,3,5.3,2.1,1.6,2.6,5.2
08115,LK Böblingen,97.8,144.6,166.9,7.2,6.5,10.7,14.2,10,10.1,13.7,18.1,11.8,11.8,15.4,18.8,13.8,13.3,17.2,21.8,15,14.6,18.1,22.3,16.7,15.8,20.4,23.3
08116,LK Esslingen,140.8,181.1,223.5,3.6,2.8,5.6,7.9,4.2,3.7,6.3,8.9,4.2,3.7,6.4,8.8,4.1,3.7,6.4,8.6,4,3.5,6.2,8.7,4.1,3.5,6.5,8.8
08117,LK Göppingen,153.6,222,243.5,6,4.2,8.2,11.2,6.7,4.5,8.7,11.7,6.8,4.9,8.8,11.8,6.8,4.7,8.2,12.1,6.1,4.8,8.1,11.7,5.1,3.9,7.4,9.5
08118,LK Ludwigsburg,127,179,200.2,5.7,5.5,8.1,10.3,7.1,6.6,9.9,12.6,7.9,7.3,10.5,12.9,9,9.1,10.9,13.6,9.3,9.6,11.7,14.3,9.5,9.8,11.8,14.9
08119,LK Rems-Murr-Kreis,129.6,188.3,208.9,4,2.4,4.6,7.7,4.5,3.1,5.3,8.7,4.7,3.1,5.4,8.9,4.7,3,5.5,8.8,4.3,3,5.4,8.6,4.3,3,5.3,8.5
08121,SK Heilbronn,170.3,261.9,286.7,4.7,3.1,7.4,11.9,5.6,4.1,8.3,12.4,6,4.2,8.4,12.9,6.3,4.6,8.8,13.3,6.5,4.7,9.6,13.4,6.6,4.8,9.3,13.6
08125,LK Heilbronn,148.8,215.5,265.7,3.3,2.3,4.7,8.1,3.7,2.7,4.8,8.9,3.9,3,5.6,9.4,3.9,2.2,5.6,9.4,3.8,2.3,6.2,8.6,4.3,3.3,6.3,9
08126,LK Hohenlohekreis,194.1,248.7,269.7,2.7,1.3,3.5,7.5,3.3,2.4,4.5,7.5,3.6,2.6,4.7,7.7,3.9,2.9,5.1,8.4,4,2.9,5,8.6,3.9,2.8,4.7,8.6
08127,LK Schwäbisch Hall,262,295.9,394.7,0.6,0.2,0.4,0.7,0.7,0.3,0.5,0.8,0.8,0.4,0.7,1,0.9,0.5,0.8,1.1,1,0.6,0.9,1.2,1.1,0.7,1.2,1.5
08128,LK Main-Tauber-Kreis,116.7,163.5,179.6,3.3,0.5,3.1,8.7,3.5,0.7,3.5,8.8,3.7,0.6,3.6,9,3.8,0.7,3.4,10.4,3.9,0.9,3.6,10.6,3.9,0.9,3.2,9.5
08135,LK Heidenheim,150.7,233.5,259.8,3.8,1.5,6.3,10.9,3.9,1.4,6.3,10.9,3.9,1.4,6.3,10.9,3.8,1.4,6.1,10.3,3.8,1.4,6.3,10.5,3.4,1.4,5.9,9.1
08136,LK Ostalbkreis,147.1,215.2,233.7,3.8,1.9,5.2,8.6,4.8,3.4,5.9,10,5.3,4,6.9,10.4,5.7,4.3,8.2,11.1,5.8,4.3,8.3,11.4,5.5,4.8,8.2,11.4
08211,SK Baden-Baden,118.8,144.1,166.3,1.8,1.1,2.7,4.1,1.8,1.1,2.7,4.1,1.8,1.1,2.8,4.1,1.9,1.2,3,4.5,1.9,1.3,3,4.2,1.8,1.1,2.5,4.2
08212,SK Karlsruhe,107.9,132.9,146.4,2.9,2.3,3.7,6.7,3.2,2.5,4.2,7.1,3.3,2.5,3.9,7.6,3.3,2.5,3.7,8.1,3.4,2.5,3.9,8.3,3.4,2.6,3.9,7.5
08215,LK Karlsruhe,118.8,144.8,157.5,2.8,2.4,4.2,6.2,3.1,2.6,4.6,6.5,3.2,2.7,4.6,6.9,3.2,2.6,4.9,6.6,3.1,2.6,4.4,6.4,3.1,2.6,4.8,6.3
08216,LK Rastatt,156,190.9,203.5,1.4,0.6,2.3,2.9,1.4,0.6,2.1,2.9,1.5,0.6,2.2,3,1.5,0.7,2.2,3.1,1.5,0.8,2.1,3.1,1.6,0.9,2.2,3.2
08221,SK Heidelberg,67.6,79.1,87.8,3,2.3,4.2,6.7,3.2,2.2,4.9,7.1,3.2,2.4,4.3,7.1,3,2.4,4.2,6.3,2.8,2.2,4.1,5.9,2.3,1.9,3.6,5.3
08222,SK Mannheim,151.3,184.5,200.8,0.5,0.2,0.4,1,0.5,0.3,0.6,1.2,0.5,0.4,0.7,1.3,0.6,0.4,0.8,1.5,0.7,0.5,0.9,1.8,1.2,0.8,1.7,2.8
08225,LK Neckar-Odenwald-Kreis,109.3,163.8,171.3,2.7,1.5,2.7,6.9,3.6,1.8,4.6,8,4,2.8,4.8,9.1,4.5,3.5,5.4,10.7,4.5,3.6,5.3,10.6,4.8,3.7,5.4,11.1
08226,LK Rhein-Neckar-Kreis,107.3,136.6,145.6,1.8,1.2,2.9,4.4,1.8,1,3,4.1,1.9,1,3,4.1,1.9,1.2,2.9,4.1,1.8,1.1,2.6,3.9,1.8,1.2,2.2,4
08231,SK Pforzheim,122,177.4,236.4,4.1,2.6,5.3,9.5,6.6,5.3,8.2,13.5,7.7,6.6,9.1,15.1,8.2,7.2,10.2,15.9,8.3,7.2,10.4,15.3,8.6,7.4,11.9,17.8
08235,LK Calw,120,171.1,233,3.7,3.2,5.6,8,4.3,3.7,6.5,8.9,4.7,4,7.1,9.1,5,4.7,7.4,9.2,5,4.8,7.3,9.4,5.2,4.8,7.6,9.7
08236,LK Enzkreis,121,192.9,221.8,2.8,1.6,3.4,5.4,4.4,3.4,5.4,8.1,5.1,4,5.6,9.2,5.4,4.5,5.8,9.3,5.5,4.5,5.8,9.7,5.7,4.6,6.1,10.7
08237,LK Freudenstadt,130.9,167,214.9,5.3,3.2,8.5,11.2,5.8,3.5,8.8,11.6,5.9,3.5,8.9,11.6,6.1,4.3,8.8,12.2,6,4.3,8.6,12.4,6.3,4.2,8.9,12.9
08311,SK Freiburg i.Breisgau,67.7,84.4,90.8,7.5,5.8,9.5,14.6,8.2,7.2,10.5,14.7,8.1,7.2,9.9,14.7,7.8,6.9,9.5,14.2,7.4,6.4,9.2,13.6,7.8,6.4,9.8,13.7
08315,LK Breisgau-Hochschwarzwald,67.3,76.5,82.6,7.6,6,10.4,15.4,8.4,7,11,16.6,8.6,7.4,11.4,17.2,8.3,6.4,11.2,17.6,8.1,6.2,10.5,17.8,8.3,6.2,11,18.1
08316,LK Emmendingen,87.8,102.4,105.1,5.6,5.2,7.8,10,8.7,8.1,11.8,15,10.6,9.9,13.5,17.3,12.6,12.8,15.4,18.6,13.6,13.1,17,20.3,16,15.9,19.9,23.7
08317,LK Ortenaukreis,109.9,144.3,155.2,7.9,5.4,11.4,14.9,9.2,6.8,12.9,15.8,9.5,7.7,13.3,16.5,9.9,7.8,13.9,17.6,10,7.8,13.7,19,9.3,7.4,13.4,16.9
08325,LK Rottweil,128.4,183,226,7.3,4.7,9.2,19.6,8.9,6,11.2,23.1,9.6,6.8,11.5,23.1,10.1,6.9,12.2,23.8,10.4,7.1,12.9,24.3,11,8.2,14.1,25.4
08326,LK Schwarzwald-Baar-Kreis,123.1,192.7,261.4,6.4,4.1,9.5,17.4,6.5,4.3,9,17.4,6.5,4.9,9,17.1,6.6,5,9.5,17.2,6.7,5,10,17.2,6.8,4.9,10.4,17.5
08327,LK Tuttlingen,152.2,208.8,267,1.4,0,0.3,1,1.5,0,0.5,1.2,1.6,0,0.6,1.3,1.7,0.2,0.7,1.4,1.7,0.2,0.7,1.5,1.7,0,0.8,1.4
08335,LK Konstanz,118.8,143.8,158.5,8.9,5.3,13.9,21.8,11.7,8,18.9,25.9,12.8,9,21.8,27.3,13.7,10.7,23.3,28.3,14.2,11.2,23.5,28.4,16,14.1,24.6,29.7
08336,LK Lörrach,85.6,98.6,106.7,0.7,0,0.5,0.9,0.8,0,0.7,1,0.9,0,0.7,1.1,1,0,0.7,1.1,0.9,0,0.7,1.1,0.3,0,0.5,0.8
08337,LK Waldshut,101,119.1,139,8.1,6.1,10.4,16,11.4,9.4,13.9,20.7,12.7,11,16,22.5,13.8,11.9,17.2,25.6,14.2,12.2,18.4,24.6,15.9,14.8,19.2,28.5
08415,LK Reutlingen,121.2,143.9,185.9,7.3,7.2,10.1,13.1,8.9,8.7,11.2,15,9.6,9.5,12.9,16.2,9.9,9.6,12.8,16.7,9.9,9.3,12.6,16.6,10.3,9.9,13,17.1
08416,LK Tübingen,108,150.5,182.7,3.3,2.3,4.2,6.7,4.3,3.2,5.8,8.5,4.8,4,6.6,9.4,4.9,3.8,6.6,10.5,5,3.8,7.1,10.9,4.8,3.8,7.1,9.4
08417,LK Zollernalbkreis,137.9,206.2,252.2,0.6,0,0.2,0.6,0.7,0,0.4,0.7,0.7,0,0.4,0.7,0.7,0,0.4,0.7,0.7,0,0.4,0.7,0.6,0,0.4,0.7
08421,SK Ulm,135,191.1,229.3,1.8,0.9,2.2,3.9,2.2,1.3,3,4.8,2.3,1.3,3.4,5,2.3,1.3,3.3,5.1,2.4,1.3,3.9,5.2,2.3,1.4,3.3,5.9
08425,LK Alb-Donau-Kreis,129.5,167.7,194,1.7,1,2,3.9,2.1,1.2,2.4,4,2.2,1.5,2.5,3.9,2.3,1.7,2.8,4.1,2.2,1.6,2.8,3.8,2.1,1.6,2.9,3.8
08426,LK Biberach,144.6,193.9,229.3,8,5.4,11,14.2,8.4,6.7,11.2,15.3,8.2,6.2,10.7,14.7,8.1,6.5,10.4,14.2,8.3,6.9,10.7,14.1,8.4,6.7,10.4,14.5
08435,LK Bodenseekreis,103.5,132,159.2,2.7,1.8,3.5,5.1,3.6,2.9,4.6,7,4.1,3.1,5.3,7.8,4.5,3.3,5.6,8.4,4.6,3.7,5.7,8,4.3,3.7,6.2,8
08436,LK Ravensburg,111.2,150.7,166.4,3.4,2.7,4.2,5.9,4.2,3.5,5.4,7.5,4.7,4.1,5.9,8.1,5.1,4,6.4,8.2,5.4,4.8,6.4,8.6,5.2,4.9,7.4,8.6
